,Time,Tweet
0,2022-07-23 12:17:54+00:00,"@DolllarPo Service turns on next month, which is same time required to deliver a user terminal, so order now at https://t.co/Q1VvqV58aK"
1,2022-07-23 12:12:22+00:00,Excited to work with Tesla Service to enable same-hour service as often as possible! Applying Formula 1 pit crew techniques to Teslas.
2,2022-07-23 12:04:57+00:00,@Rainmaker1973 Major volcanic eruptions are underappreciated as civilizational risks
3,2022-07-23 12:01:06+00:00,@Rainmaker1973 Tough times
4,2022-07-22 19:01:32+00:00,"Starlink now available in 36 countries!
https://t.co/nH1zPfd2Om"
5,2022-07-22 19:00:14+00:00,Congrats to SpaceX team on record number of launches! https://t.co/nb8ozrbqZ5
6,2022-07-22 13:35:52+00:00,Optimus Primed https://t.co/DMIPaIYevN
7,2022-07-22 13:30:24+00:00,@PPathole @alifarhat79 @wapodavenport @WalterIsaacson @jeff_foust Yup
8,2022-07-22 13:18:00+00:00,"@alifarhat79 @wapodavenport @WalterIsaacson @jeff_foust I’m rubber, they’re glue"
9,2022-07-22 13:17:22+00:00,@micsolana 🤣
10,2022-07-22 13:07:25+00:00,@wapodavenport @WalterIsaacson @jeff_foust Interesting. Smart move by China. Expendable rockets have no future.
11,2022-07-21 23:48:35+00:00,"@jgebbia @Airbnb @bchesky @nathanblec Congrats on an incredible company with Airbnb, now for Book 2!"
12,2022-07-21 20:50:26+00:00,@heydave7 @Tesla True
13,2022-07-21 14:52:04+00:00,"@WholeMarsBlog Tbh, it’s good motivation to work out, eat healthier &amp; maybe take my shirt off outside more than once a year haha"
14,2022-07-21 08:01:29+00:00,@ajtourville @Twitter 🧐
15,2022-07-21 07:31:58+00:00,@JonErlichman 16 years ago
16,2022-07-21 03:46:18+00:00,@dogecoin Upgrades!
17,2022-07-21 03:41:07+00:00,@teslaownersSV @mayemusk @kimbal @ToscaMusk 🤣
18,2022-07-21 03:28:31+00:00,🥇 https://t.co/VlSpfXZdp9
19,2022-07-21 03:27:33+00:00,@EFF Sounds bad
20,2022-07-21 03:21:22+00:00,@RenataKonkoly @Reuters @PunHubOnline 🤣
21,2022-07-21 03:01:34+00:00,"@Reuters Is this the real life?
Is this just fantasy?
Caught in a landside,
No escape from reality"
22,2022-07-20 20:59:20+00:00,@BillyM2k Haha true
23,2022-07-20 04:01:29+00:00,@PPathole @waitbutwhy @undertheraedar Yes
24,2022-07-20 03:52:12+00:00,@teslaownersSV 🤣
25,2022-07-20 03:01:32+00:00,@waitbutwhy @undertheraedar Earth is basically empty of humans
26,2022-07-19 18:59:05+00:00,@realMeetKevin Exactly
27,2022-07-19 17:34:20+00:00,One of the best features of Model X https://t.co/zUTcSD7fiz
28,2022-07-19 17:06:43+00:00,@JohnnaCrider1 @POTUS Teslas are the most made-in-USA vehicles
29,2022-07-19 17:05:45+00:00,@ChildrensHD Total scam
30,2022-07-19 16:00:37+00:00,@mn_google My calves are bigger tho
31,2022-07-19 15:59:19+00:00,"To think that Fremont was just a derelict building &amp; Giga Nevada was just rocks &amp; bushes when started!

California… https://t.co/vzuuUVa1Xz"
32,2022-07-19 15:55:22+00:00,Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!
33,2022-07-19 07:00:38+00:00,Please vote your shares with Tesla! https://t.co/ZbFWv0pkgG
34,2022-07-19 05:32:27+00:00,@WholeMarsBlog Yeah
35,2022-07-19 02:40:08+00:00,@SawyerMerritt @SpaceX It’s a start. About 1000 times more mass to orbit per year will be needed to make life multiplanetary.
36,2022-07-19 00:59:05+00:00,@BillyM2k Already did it
37,2022-07-18 21:14:53+00:00,"@Teslaconomics Haha damn, maybe I should take off my shirt more often … free the nip!! 
(already back in the factory btw)"
38,2022-07-18 21:06:30+00:00,@teslaownersSV Still needs a few tweaks
39,2022-07-18 21:02:55+00:00,@JohnnaCrider1 @TwitterSupport @Teslarati @WholeMarsBlog 🤔
40,2022-07-18 20:17:23+00:00,https://t.co/8IYBfjFact
41,2022-07-18 20:16:22+00:00,@EvaFoxU @BillyM2k 💯🤣
42,2022-07-18 19:37:05+00:00,@RenataKonkoly @engineers_feed A classic 🤣
43,2022-07-18 18:55:16+00:00,"@engineers_feed I remember the 70’s, which means I’m definitely not spring chicken"
44,2022-07-18 18:36:23+00:00,"@BillyM2k Arguably, we know more than nothing. “Death &amp; taxes are a certainty” – BF."
45,2022-07-18 17:46:03+00:00,@karpathy Also worth getting a particle counter
46,2022-07-18 17:45:31+00:00,"@OwenSparks_ @karpathy It’s on the future product list. Especially important in places like Austin, which has next-… https://t.co/aQbFmsHDGn"
47,2022-07-18 17:41:25+00:00,@konstructivizm Things will get wild when Andromeda collides with our galaxy!
48,2022-07-18 17:30:01+00:00,@energybants @Liv_Boeree They should keep running
49,2022-07-18 17:24:39+00:00,@karpathy True. I have a CO2 monitor on my desk. It beeps whenever ppm&gt;1000.
50,2022-07-18 17:21:31+00:00,@SpaceX @Space_Station About twice as much useful mass to orbit as rest of Earth combined
51,2022-07-18 15:09:09+00:00,@tanayj Absolutely
52,2022-07-18 15:07:29+00:00,"@Erdayastronaut @LevEakins More accurate word is “propellant”, rather than “fuel”. Starship is ~78% liquid oxygen,… https://t.co/nma1YYVTU2"
53,2022-07-18 14:18:56+00:00,@Rainmaker1973 I use this example a lot
54,2022-07-18 14:17:12+00:00,"@TJ_Cooney @SpaceX Starlink bandwidth varies a lot, depending on user terminal density &amp; time of day. That’s why th… https://t.co/qFSJGIFsAY"
55,2022-07-18 14:08:56+00:00,@TJ_Cooney @SpaceX Starlink is a gamechanger for remote locations
56,2022-07-16 03:48:29+00:00,@topherAlba26 @itsALLrisky @BillyM2k @MilgateTyler @nmayfield28 @djdoge69 @LingLingBBW @Stealth_Doge69 @GloryDoge… https://t.co/XHu0lJz1Bu
57,2022-07-16 01:40:47+00:00,@NASAEarth Global _______
58,2022-07-16 00:29:24+00:00,@SciGuySpace Cumulative tonnage to orbit this year is the right metric
59,2022-07-16 00:27:48+00:00,@Storm4Congress 🤣
60,2022-07-16 00:21:30+00:00,@akidesir @SawyerMerritt Write to the @FCC! That would be great.
61,2022-07-16 00:19:41+00:00,@SawyerMerritt Charlie Ergen is trying steal the 12GHz band meant for space Internet. Not cool.
62,2022-07-15 23:22:11+00:00,@cleantechnica Progress
63,2022-07-15 23:21:10+00:00,@teslaownersSV @Tesla We’re making progress with Steam integration. Demo probably next month.
64,2022-07-15 21:15:56+00:00,@teslaownersSV @cb_doge It’s a flat trade
65,2022-07-15 21:15:21+00:00,@EvaFoxU @cb_doge 🤣
66,2022-07-15 21:14:44+00:00,@teslaownersSV Autonomous rocket landing on autonomous ship
67,2022-07-15 20:59:37+00:00,"@cb_doge Actually true. Then I suggested to the team that it didn’t need to be quite so pointy, since that’s just b… https://t.co/fyuFn8Tnmm"
68,2022-07-15 20:57:29+00:00,@BillyM2k @CryptoWhale 😋 bagels
69,2022-07-15 13:00:42+00:00,"@hohocho If inflation calms down, we can lower prices for cars"
70,2022-07-15 12:55:42+00:00,"Tesla is to protect life on Earth,
SpaceX to extend life beyond."
71,2022-07-15 12:43:47+00:00,"@PPathole 20 to 30 years from first human landing if launch rate growth is exponential.

Assumes transferring ~100k… https://t.co/iRyr7iq09h"
72,2022-07-15 12:21:05+00:00,"Mars may be a fixer upper of a planet, but it has great potential!"
73,2022-07-15 12:14:53+00:00,"@tim_ottawa @teslaownersSV Mars is, admittedly, a fixer upper of a planet"
74,2022-07-15 11:35:07+00:00,@teslaownersSV The scale is 🤯 &amp; anyone can visit!
75,2022-07-15 04:03:02+00:00,https://t.co/ozWk7GxcEu
76,2022-07-15 02:46:31+00:00,@waitbutwhy I wonder if there is a species in the Magellanic Clouds wondering who lives in the big galaxy they orbit
77,2022-07-15 02:28:08+00:00,@PPathole @Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 Some small tubes &amp; wiring need to be nested in a b… https://t.co/FPhPnSXsky
78,2022-07-15 02:03:17+00:00,@DJSnM @Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 Electric power for booster &amp; ship is needed even when… https://t.co/HiYwc7JX56
79,2022-07-15 01:52:52+00:00,@Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 Enabling engines to take the heat without shrouds might save… https://t.co/5H34xXlmVV
80,2022-07-15 01:46:09+00:00,@Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 All mass necessitated by an engine design should count as en… https://t.co/yaEeNgSNTM
81,2022-07-15 00:42:42+00:00,Dragon launching in 2 mins https://t.co/DBQDCbBy6B
82,2022-07-14 07:10:57+00:00,"@Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 Most importantly, we need to delete or thermally protect rem… https://t.co/B25WNIWBpO"
83,2022-07-14 00:55:33+00:00,"@arctechinc 10.13 goes to internal beta tomorrow, external next week. Should handle Chuck’s complex left turn.

Bet… https://t.co/7NcsJ5uDF9"
84,2022-07-13 21:42:02+00:00,@shacknews 💩 = bs
85,2022-07-13 21:30:40+00:00,@karpathy Thanks for everything you have done for Tesla! It has been an honor working with you.
86,2022-07-13 21:24:15+00:00,@BillFOXLA @FoxNews Wow
87,2022-07-13 19:50:28+00:00,@ajtourville @Twitter 🧐
88,2022-07-13 17:40:20+00:00,@BillyM2k 🤣🤣
89,2022-07-13 17:27:50+00:00,"@DavidSacks Absolutely. 

And lithium batteries are the new oil."
